state,district,crop,modal_price,min_price,max_price,date,month,day_of_week,price_lag_1,price_lag_7,price_lag_30,rolling_mean_7,rolling_std_7,price_direction
Gujarat,Porbandar,Wheat,2280.0,,,2017-04-15 00:09:21.221315,4,5,1990.0,2280.0,2280.0,2135.0,205.0609665440988,1
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),9305.0,,,2017-04-16 00:09:21.221315,4,6,9305.0,9305.0,9305.0,9305.0,0.0,0
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4980.0,,,2017-04-17 00:09:21.221315,4,0,4980.0,4980.0,4980.0,4980.0,0.0,0
Gujarat,Rajkot,Wheat,2465.0,,,2017-04-18 00:09:21.221315,4,1,2465.0,2465.0,2465.0,2465.0,0.0,0
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),7000.0,,,2017-04-19 00:09:21.221315,4,2,9305.0,7000.0,7000.0,8152.5,1629.8811306349921,0
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),1940.0,,,2017-04-20 00:09:21.221315,4,3,1940.0,1940.0,1940.0,1940.0,0.0,0
Gujarat,Rajkot,Cotton,7075.0,,,2017-04-21 00:09:21.221315,4,4,7075.0,7075.0,7075.0,7075.0,0.0,0
Gujarat,Rajkot,Green Gram (Moong)(Whole),6750.0,,,2017-04-22 00:09:21.221315,4,5,6750.0,6750.0,6750.0,6750.0,0.0,0
Gujarat,Rajkot,Jowar(Sorghum),4250.0,,,2017-04-23 00:09:21.221315,4,6,4250.0,4250.0,4250.0,4250.0,0.0,0
Gujarat,Rajkot,Maize,2605.0,,,2017-04-24 00:09:21.221315,4,0,2605.0,2605.0,2605.0,2605.0,0.0,0
Gujarat,Rajkot,Mustard,4900.0,,,2017-04-25 00:09:21.221315,4,1,4900.0,4900.0,4900.0,4900.0,0.0,0
Gujarat,Rajkot,Wheat,2175.0,,,2017-04-26 00:09:21.221315,4,2,2465.0,2175.0,2175.0,2320.0,205.0609665440988,0
Gujarat,Rajkot,Wheat,2225.0,,,2017-04-27 00:09:21.221315,4,3,2175.0,2225.0,2225.0,2288.3333333333335,155.02687938977982,1
Gujarat,Rajkot,Cotton,6960.0,,,2017-04-28 00:09:21.221315,4,4,7075.0,6960.0,6960.0,7017.5,81.31727983645297,0
