state,district,crop,modal_price,min_price,max_price,date
Rajasthan,Jaipur,Bajra(Pearl Millet/Cumbu),2027.0,,,
Rajasthan,Jaipur,Barley (Jau),1615.0,,,
Rajasthan,Jaipur,Bengal Gram(Gram)(Whole),4687.0,,,
Rajasthan,Jaipur,Mustard,5055.0,,,
Rajasthan,Jaipur,Wheat,2281.0,,,
Rajasthan,Jodhpur,Bajra(Pearl Millet/Cumbu),2500.0,,,
Rajasthan,Jodhpur,Mustard,4850.0,,,
Rajasthan,Jodhpur,Green Gram (Moong)(Whole),6900.0,,,
Rajasthan,Jodhpur,Jowar(Sorghum),3550.0,,,
Rajasthan,Kota,Barley (Jau),1725.0,,,
Rajasthan,Kota,Bengal Gram(Gram)(Whole),4750.0,,,
Rajasthan,Kota,Black Gram (Urd Beans)(Whole),6500.0,,,
Rajasthan,Kota,Green Gram (Moong)(Whole),6800.0,,,
Rajasthan,Kota,Jowar(Sorghum),2000.0,,,
Rajasthan,Kota,Maize,1900.0,,,
Rajasthan,Kota,Mustard,5200.0,,,
Rajasthan,Kota,Paddy(Dhan)(Common),3800.0,,,
Rajasthan,Kota,Wheat,2300.0,,,
Rajasthan,Sikar,Barley (Jau),1500.0,,,
Rajasthan,Tonk,Barley (Jau),1560.0,,,
Rajasthan,Tonk,Bengal Gram(Gram)(Whole),4925.0,,,
Rajasthan,Tonk,Green Gram (Moong)(Whole),6300.0,,,
Rajasthan,Tonk,Maize,2570.0,,,
Rajasthan,Tonk,Mustard,5400.0,,,
Rajasthan,Tonk,Wheat,2210.0,,,
Tamil Nadu,Ariyalur,Black Gram Dal (Urd Dal),7500.0,,,
Tamil Nadu,Ariyalur,Maize,2235.0,,,
Tamil Nadu,Ariyalur,Paddy(Dhan)(Common),2050.0,,,
Tamil Nadu,Coimbatore,Maize,2200.0,,,
Tamil Nadu,Coimbatore,Paddy(Dhan)(Common),2050.0,,,
Tamil Nadu,Coimbatore,Maize,2250.0,,,
Tamil Nadu,Cuddalore,Paddy(Dhan)(Common),1828.0,,,
Tamil Nadu,Cuddalore,Paddy(Dhan)(Common),1572.0,,,
Tamil Nadu,Erode,Maize,2350.0,,,
Tamil Nadu,Madurai,Paddy(Dhan)(Common),2046.0,,,
Tamil Nadu,Madurai,Paddy(Dhan)(Common),2123.0,,,
Tamil Nadu,Madurai,Paddy(Dhan)(Common),2585.0,,,
Tamil Nadu,Madurai,Paddy(Dhan)(Common),2816.0,,,
Tamil Nadu,Madurai,Cotton,5200.0,,,
Tamil Nadu,Madurai,Cotton,5850.0,,,
Tamil Nadu,Madurai,Jowar(Sorghum),3950.0,,,
Tamil Nadu,Madurai,Paddy(Dhan)(Common),1900.0,,,
Tamil Nadu,Madurai,Paddy(Dhan)(Common),2050.0,,,
Tamil Nadu,Namakkal,Maize,2307.0,,,
Tamil Nadu,Salem,Cotton,6200.0,,,
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),1900.0,,,
Tamil Nadu,Theni,Cotton,7600.0,,,
Tamil Nadu,Theni,Paddy(Dhan)(Common),1760.0,,,
Tamil Nadu,Theni,Paddy(Dhan)(Common),1770.0,,,
Tamil Nadu,Theni,Bajra(Pearl Millet/Cumbu),2535.0,,,
Tamil Nadu,Theni,Cotton,5500.0,,,
Tamil Nadu,Theni,Jowar(Sorghum),4030.0,,,
Tamil Nadu,Theni,Maize,2305.0,,,
Tamil Nadu,Theni,Paddy(Dhan)(Common),1695.0,,,
Tamil Nadu,Thiruvannamalai,Paddy(Dhan)(Common),1728.0,,,
Tamil Nadu,Villupuram,Maize,2038.0,,,
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),6453.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1573.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1364.0,,,
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),8160.0,,,
Tamil Nadu,Villupuram,Maize,2190.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1759.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1713.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1767.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1760.0,,,
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),7389.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1725.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1787.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1881.0,,,
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),2445.0,,,
Telangana,Adilabad,Cotton,6900.0,,,
Telangana,Adilabad,Jowar(Sorghum),3000.0,,,
Telangana,Adilabad,Cotton,7450.0,,,
Telangana,Adilabad,Cotton,7320.0,,,
Telangana,Adilabad,Cotton,7450.0,,,
Telangana,Jagityal,Paddy(Dhan)(Common),2040.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2040.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2040.0,,,
Telangana,Karimnagar,Maize,2050.0,,,
